decision,var,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12
1,0,1,0,1,0,1,0,1,0,0,1,0
0,0,1,0,1,0,1,0,1,0,0,1,0
0,0,1,0,1,0,1,0,1,0,0,1,0
1,0,0,1,1,0,1,0,0,1,0,0,0
1,0,0,0,1,0,0,0,0,1,0,1,1
1,0,1,0,1,0,1,0,1,0,0,1,0
0,0,1,0,1,0,1,0,1,0,0,1,0
1,1,0,0,1,0,1,0,1,0,0,1,0
1,0,0,1,1,0,1,0,0,1,0,1,0
0,0,1,0,1,0,1,0,0,1,0,1,0
1,0,1,0,1,0,1,0,0,0,0,1,0
1,0,1,0,1,0,0,0,0,1,0,1,0
1,0,0,1,1,0,0,1,0,1,0,1,0
1,0,1,0,1,0,0,0,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,0,1,0
0,1,0,0,1,1,0,0,1,0,0,1,0
0,0,1,0,1,0,0,0,0,1,0,1,0
0,0,1,0,0,0,1,0,1,0,0,1,0
1,0,1,0,0,1,0,0,1,0,0,1,0
0,0,0,1,0,1,1,0,0,1,0,1,1
1,0,0,1,0,1,0,0,0,1,0,1,0
1,0,0,0,1,0,0,0,0,0,1,0,0
0,0,1,0,0,1,0,0,1,0,0,1,0
1,0,1,0,0,1,0,0,1,0,0,1,0
0,0,0,1,1,0,0,0,0,1,1,0,0
0,1,0,1,0,1,0,1,0,1,0,1,0
1,0,0,1,0,1,0,0,0,1,0,1,0
0,0,1,0,0,1,1,0,1,0,0,1,1
1,0,1,0,1,0,1,0,1,0,0,1,0
0,0,0,1,1,0,1,0,1,0,0,1,0
1,0,1,0,1,0,1,0,1,0,0,1,0
1,0,0,0,1,0,0,0,0,1,1,0,1
1,0,1,0,1,0,1,0,0,1,0,1,0
0,0,1,0,1,0,1,0,0,1,0,1,0
1,0,1,0,1,0,0,1,1,0,0,1,0
1,0,1,0,1,0,0,0,1,0,0,1,1
0,0,1,0,1,0,1,0,1,0,0,1,0
1,1,0,0,1,0,1,0,1,0,0,1,0
1,1,0,0,0,0,1,0,0,1,1,0,0
0,0,1,0,0,0,1,0,1,0,1,0,0
1,0,1,0,1,0,1,0,1,0,0,1,0
1,1,0,0,1,0,1,0,0,0,1,0,0
1,0,0,1,1,0,0,0,0,1,0,1,1
0,0,1,0,0,0,0,1,1,0,0,0,0
0,0,0,1,1,0,0,1,1,0,0,0,0
1,1,0,0,0,0,0,1,1,0,0,0,0
0,1,0,0,0,0,0,1,1,0,0,0,0
0,0,0,1,1,0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,1,0,0,0,0,1,1,0,0,0,0
0,1,0,0,0,0,0,1,1,0,0,0,0
0,0,0,1,0,0,0,1,1,0,0,0,0
1,0,0,0,0,0,0,1,1,0,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,1,1,0,0,0,0
1,0,0,0,1,0,0,1,1,0,0,0,0
1,0,1,0,0,0,0,1,1,0,0,0,0
0,0,0,1,1,0,0,1,1,0,0,0,0
1,0,0,1,1,0,0,1,1,0,0,0,0
0,0,1,0,0,0,0,1,1,0,0,0,0
1,0,0,1,1,0,0,1,1,0,0,0,0
0,0,1,0,0,0,0,1,1,0,0,0,0
1,0,0,0,0,0,0,1,1,0,0,0,0
0,0,1,0,1,0,0,1,1,0,0,0,0
0,0,0,1,0,0,0,1,1,0,0,0,0
0,0,0,1,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,1,0,1,0,0,1,1,0,0,0,0
0,0,0,1,0,0,0,1,1,0,0,0,0
1,0,0,1,0,0,0,1,1,0,0,0,0
1,0,0,1,0,0,0,1,1,0,0,0,0
0,0,0,0,1,0,0,1,1,0,0,0,0
0,0,0,1,0,0,0,1,1,0,0,0,0
1,0,0,1,1,0,0,1,1,0,0,0,0
1,0,0,1,1,0,0,1,1,0,0,0,0
0,0,1,0,0,0,0,1,1,0,0,0,0
1,0,0,0,1,0,0,1,1,0,0,0,0
0,0,0,1,1,0,0,1,1,0,0,0,0
1,0,0,1,0,0,0,1,1,0,0,0,0
1,0,1,0,1,0,0,1,1,0,0,0,0
1,0,0,1,0,0,0,1,1,0,0,0,0
0,0,1,0,1,0,0,1,1,0,0,0,0
0,0,0,1,1,0,0,1,1,0,0,0,0
1,0,0,0,1,0,0,1,1,0,0,0,0
1,0,0,1,0,0,0,1,1,0,0,0,0
1,0,0,1,0,0,0,1,1,0,0,0,0
0,0,0,1,1,0,0,1,1,0,0,0,0
0,0,0,1,1,0,0,1,1,0,0,0,0
0,0,1,0,1,0,1,0,0,1,0,1,0
1,0,0,1,1,0,1,0,1,0,0,1,0
1,1,0,0,1,0,0,0,1,0,1,0,1
1,0,0,1,1,0,1,0,1,0,0,1,0
1,0,1,0,1,0,0,0,0,1,1,0,0
0,0,1,0,1,0,0,1,0,1,0,1,0
0,1,0,0,1,1,0,0,0,1,0,1,0
1,0,1,0,1,0,0,0,1,0,0,1,0
0,0,1,0,1,0,1,0,1,0,0,1,0
1,0,0,1,1,0,1,0,0,1,0,1,0
1,1,0,0,1,0,1,0,1,0,1,0,0
0,0,1,0,1,0,1,0,0,1,0,1,0
1,1,0,0,1,0,1,0,1,0,1,0,0
0,1,0,0,1,1,0,0,0,1,1,0,0
1,0,1,0,1,0,1,0,1,0,1,0,0
0,0,1,0,1,0,1,0,1,0,0,1,0
1,1,0,0,1,0,1,0,1,0,0,1,0
1,1,0,0,0,0,1,0,0,1,1,0,0
0,0,1,0,0,0,1,0,1,0,1,0,0
1,0,1,0,1,0,1,0,1,0,0,1,0
1,1,0,0,1,0,1,0,0,0,1,0,0
1,0,0,1,1,0,0,0,0,1,0,1,1
0,0,1,0,0,0,0,1,1,0,0,0,0
0,0,0,1,1,0,0,1,1,0,0,0,0
1,1,0,0,0,0,0,1,1,0,0,0,0
0,1,0,0,0,0,0,1,1,0,0,0,0
1,1,0,0,0,1,1,0,0,0,0,0,0
1,0,1,0,1,0,1,0,0,0,0,0,1
1,0,1,0,1,0,0,1,0,0,0,0,0
1,0,1,0,1,0,0,1,0,0,0,0,0
0,0,1,0,0,1,1,0,0,0,0,0,0
0,0,1,0,1,0,1,0,0,0,0,0,0
1,0,1,0,1,0,0,1,0,0,0,0,1
